pair,date,high,low,open,close,volume
USDT_BTC,0,36000.04,36000.04,36000.00,36000.04,143465580
USDT_BTC,3600,35999.93,35999.88,35999.99,35999.91,173626168
USDT_BTC,7200,36000.01,35999.88,36000.01,35999.94,91215939
USDT_BTC,10800,36000.01,36000.00,35999.98,36000.01,80464740
USDT_BTC,14400,35999.98,35999.94,35999.99,35999.96,184937859
USDT_BTC,18000,35999.99,35999.89,36000.01,35999.94,198250744
USDT_BTC,21600,36000.07,36000.17,36000.04,36000.12,178445967
USDT_BTC,25200,36000.08,36000.24,36000.06,36000.16,214266014
USDT_BTC,28800,36000.07,36000.02,36000.04,36000.04,159536596
USDT_BTC,32400,36000.02,36000.06,36000.04,36000.04,130712622
USDT_BTC,36000,36000.01,36000.34,36000.04,36000.18,173778445
USDT_BTC,39600,36000.04,36000.05,36000.04,36000.04,174951001
USDT_BTC,43200,36000.05,35999.84,36000.02,35999.94,117847321
USDT_BTC,46800,36000.05,35999.99,36000.05,36000.02,74232999
USDT_BTC,50400,36000.04,36000.06,36000.04,36000.05,212580219
USDT_BTC,54000,36000.01,36000.05,36000.05,36000.03,192830918
USDT_BTC,57600,35999.98,36000.02,36000.01,36000.00,118793797
USDT_BTC,61200,35999.94,36000.04,35999.95,35999.99,121317028
USDT_BTC,64800,35999.96,35999.92,35999.96,35999.94,53906495
USDT_BTC,68400,35999.94,36000.02,35999.96,35999.98,197262156
USDT_BTC,72000,35999.89,36000.09,35999.94,35999.99,126986347
USDT_BTC,75600,35999.92,35999.95,35999.97,35999.94,128631608
USDT_BTC,79200,35999.94,35999.84,35999.95,35999.89,222671117
USDT_BTC,82800,35999.96,35999.95,35999.95,35999.95,243483089
USDT_BTC,86400,35999.99,36000.12,35999.98,36000.06,146055687
USDT_BTC,90000,35999.97,36000.11,35999.99,36000.04,133704233
USDT_BTC,93600,35999.99,35999.95,36000.01,35999.97,225224445
USDT_BTC,97200,36000.00,35999.97,36000.00,35999.99,203631398
USDT_BTC,100800,36000.00,36000.01,36000.00,36000.01,95104634
USDT_BTC,104400,36000.00,36000.00,36000.00,36000.00,242810912
USDT_BTC,108000,36000.03,36000.10,36000.00,36000.07,59185517
USDT_BTC,111600,36000.05,36000.09,36000.03,36000.07,227907623
USDT_BTC,115200,35999.98,36000.14,36000.01,36000.06,171932037
USDT_BTC,118800,36000.01,36000.16,36000.01,36000.08,157852867
USDT_BTC,122400,35999.98,35999.99,36000.02,35999.98,243765272
USDT_BTC,126000,36000.01,36000.16,36000.01,36000.08,222426597
USDT_BTC,129600,36000.04,36000.06,36000.04,36000.05,183703459
USDT_BTC,133200,36000.04,36000.17,36000.01,36000.11,58643589
USDT_BTC,136800,36000.07,36000.11,36000.05,36000.09,85524182
USDT_BTC,140400,36000.00,36000.10,36000.06,36000.05,196257792
USDT_BTC,144000,36000.09,36000.14,36000.09,36000.11,245515127
